trial,familia,feature_set,accuracy,n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,reg_lambda,iterations,depth,l2_leaf_reg,max_depth,min_child_weight,reg_alpha
90,xgboost,sin_lag_semanal,83.47507217558758,800.0,,0.005,0.6,0.9,,2.0,,,,7.0,20.0,2.0
167,xgboost,sin_lag_semanal,83.40768940991977,200.0,,0.02,0.9,0.6,,0.0,,,,7.0,5.0,1.0
177,xgboost,base,83.3881682540564,400.0,,0.08,0.6,0.9,,10.0,,,,4.0,3.0,0.0
140,catboost,base,83.2556320435304,,,0.03,,,,,1200.0,4.0,5.0,,,
47,xgboost,con_estacion,83.23237000211834,600.0,,0.005,0.6,0.9,,1.0,,,,7.0,3.0,0.5
138,xgboost,base,83.20032374114344,1200.0,,0.02,0.6,0.7,,2.0,,,,4.0,5.0,1.0
85,lightgbm,sin_lag_semanal,83.165073750994,1200.0,31.0,0.005,0.6,0.9,20.0,2.0,,,,,,
124,xgboost,con_estacion,83.01177275765826,1200.0,,0.005,1.0,1.0,,2.0,,,,5.0,1.0,2.0
126,lightgbm,sin_lag_semanal,82.89855332951048,300.0,31.0,0.02,0.7,0.5,10.0,5.0,,,,,,
137,catboost,con_estacion,82.8658201233152,,,0.03,,,,,600.0,4.0,1.0,,,
52,catboost,base,82.85040694504384,,,0.01,,,,,600.0,8.0,5.0,,,
76,catboost,base,82.57079642852584,,,0.03,,,,,300.0,6.0,10.0,,,
136,catboost,con_estacion,82.52646557418667,,,0.01,,,,,1500.0,4.0,1.0,,,
133,catboost,con_estacion,82.48668072208936,,,0.05,,,,,300.0,4.0,5.0,,,
129,xgboost,con_estacion,82.10907869785245,600.0,,0.005,0.5,0.8,,10.0,,,,6.0,3.0,0.1
61,xgboost,con_estacion,82.02447885291222,200.0,,0.02,0.6,0.6,,1.0,,,,5.0,10.0,0.5
134,xgboost,base,81.98318035028183,800.0,,0.01,0.7,0.9,,2.0,,,,4.0,3.0,0.1
49,xgboost,base,81.98137277477956,400.0,,0.02,0.5,0.8,,10.0,,,,4.0,1.0,2.0
65,xgboost,base,81.92874642682551,300.0,,0.01,0.9,0.7,,0.5,,,,6.0,5.0,1.0
13,catboost,base,81.71157239503975,,,0.01,,,,,1200.0,4.0,1.0,,,
128,catboost,base,81.67765266443568,,,0.01,,,,,600.0,6.0,10.0,,,
29,lightgbm,sin_lag_semanal,81.54990370450582,300.0,63.0,0.01,0.8,0.7,10.0,0.5,,,,,,
107,xgboost,sin_lag_semanal,81.52352159377675,600.0,,0.005,0.6,0.5,,2.0,,,,7.0,1.0,0.1
40,catboost,con_estacion,81.40988980968204,,,0.01,,,,,300.0,10.0,10.0,,,
105,catboost,base,81.25390434336049,,,0.01,,,,,300.0,10.0,5.0,,,
187,catboost,base,81.06669355024339,,,0.01,,,,,900.0,4.0,5.0,,,
168,xgboost,con_estacion,80.6792843654743,600.0,,0.005,1.0,0.5,,1.0,,,,5.0,10.0,0.0
2,catboost,con_estacion,80.38566306626853,,,0.01,,,,,300.0,8.0,1.0,,,
164,xgboost,base,77.28306182284665,300.0,,0.005,0.7,1.0,,0.0,,,,12.0,3.0,0.1
3,xgboost,sin_lag_semanal,77.1373894114139,200.0,,0.01,1.0,0.9,,0.5,,,,6.0,5.0,2.0
184,xgboost,sin_lag_semanal,76.25682469179476,300.0,,0.005,0.5,0.7,,2.0,,,,12.0,3.0,0.1
197,lightgbm,sin_lag_semanal,75.9033158929464,300.0,255.0,0.005,0.8,0.9,20.0,0.5,,,,,,
113,xgboost,con_estacion,75.71323048910722,400.0,,0.005,0.9,0.8,,5.0,,,,4.0,5.0,0.0
182,lightgbm,con_estacion,74.64208881407333,300.0,63.0,0.005,0.7,0.9,40.0,0.0,,,,,,
131,lightgbm,con_estacion,74.58464723109091,300.0,63.0,0.005,0.9,0.8,20.0,5.0,,,,,,
66,lightgbm,sin_lag_semanal,73.10086981381143,300.0,63.0,0.005,0.9,0.8,10.0,0.0,,,,,,
27,lightgbm,sin_lag_semanal,72.40859101123357,300.0,63.0,0.005,0.7,0.5,40.0,5.0,,,,,,
200,lightgbm,sin_lag_semanal,71.38632647141657,300.0,31.0,0.005,0.9,0.8,80.0,0.0,,,,,,
