,importance
lag_672,0.9178840974007748
lag_1,0.047839963198614464
lag_96,0.010578540111640427
roll_mean_96,0.004664831943194492
roll_mean_4,0.004542204987160216
hour_cos,0.0027705266239033575
temperature_c,0.0020154060757161243
rain_mm,0.0020101730007955456
roll_std_96,0.001977382387729745
lag_4,0.0017642523786932029
hour_sin,0.0016531837093167593
event_intensity,0.0011114398319114313
dow_sin,0.0006229337801159241
dow_cos,0.0004902236810687113
is_weekend,7.484088936492426e-05
